#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
361,Evan Marshall,CHW,RP,R,22.2,0.0,0.0,67.5,15.5,0.8,0.7,0,4,4.39,3.82,1.40,14.2,6.2,15.4,0.6,7.6,8.2,2,49.8,30.2,20.1,0.301
362,Adam Morgan,PHI,RP,L,22.2,0.0,0.0,66.8,15.5,0.7,0.8,1,4,4.57,3.72,1.34,14.7,5.4,15.4,0.6,8.0,8.5,3,39.2,38.2,19.9,0.289
363,Tim Hill,SD,RP,L,22.2,0.0,0.0,65.6,15.5,0.8,0.7,0,3,3.60,3.31,1.30,13.9,5.4,14.7,0.7,6.2,6.8,1,53.1,23.9,20.3,0.302
364,Austin Gomber,STL,SP,L,7.8,1.8,0.8,66.3,15.4,0.8,0.9,0,1,4.28,3.92,1.36,14.1,6.1,14.8,0.6,7.3,7.9,2,39.9,36.8,20.6,0.289
365,Burch Smith,OAK,RP,R,9.0,0.0,0.0,67.2,15.3,0.8,0.7,0,1,4.71,3.98,1.42,14.5,7.1,14.6,0.8,8.1,8.6,2,39.1,40.4,20.4,0.290
366,Jeffrey Springs,BOS,RP,L,9.0,0.0,0.0,65.8,15.3,0.8,0.7,0,1,4.15,3.51,1.31,17.1,6.3,13.8,0.6,7.2,7.7,2,37.0,41.8,21.2,0.289
367,Dan Altavilla,SEA,RP,R,16.8,0.0,0.0,65.1,15.1,0.7,0.7,0,2,4.15,3.48,1.36,17.7,7.8,12.7,0.7,6.9,7.4,2,40.7,39.3,20.0,0.289
368,Shawn Armstrong,BAL,RP,R,15.0,0.0,0.0,65.2,15.0,0.7,0.8,1,2,4.93,3.67,1.41,15.1,6.8,14.4,0.7,8.1,8.6,3,37.3,42.2,20.6,0.289
369,Randy Rosario,KC,RP,L,15.0,0.0,0.0,65.8,15.0,0.7,0.7,0,1,4.54,4.13,1.48,11.3,6.6,15.7,0.6,7.5,8.1,2,50.4,28.9,20.7,0.303
370,Luis Perdomo,SD,RP,R,15.0,0.0,0.0,64.5,15.0,0.7,0.7,0,2,4.10,3.63,1.34,12.1,4.5,15.5,0.6,6.8,7.4,2,51.1,25.9,20.3,0.307
371,Corey Knebel,MIL,RP,R,15.0,0.0,0.0,63.3,15.0,0.8,0.7,1,2,3.65,2.97,1.25,19.5,6.9,11.9,0.6,6.1,6.6,2,40.8,35.8,20.7,0.293
372,Wander Suero,WSH,RP,R,15.0,0.0,0.0,64.4,15.0,0.7,0.7,0,3,4.19,3.61,1.33,14.7,5.6,14.4,0.7,7.1,7.6,2,40.6,35.9,20.7,0.294
373,Stefan Crichton,ARI,RP,R,15.0,0.0,0.0,64.5,15.0,0.7,0.7,0,2,4.20,3.59,1.37,13.2,5.6,14.9,0.7,7.0,7.6,2,48.6,27.6,21.1,0.305
374,Taylor Guilbeau,SEA,RP,L,15.0,0.0,0.0,65.0,15.0,0.7,0.7,0,2,4.17,3.79,1.40,13.1,6.3,14.8,0.7,6.9,7.5,2,50.9,29.2,20.0,0.300
375,Brusdar Graterol,LAD,RP,R,15.0,0.0,0.0,63.3,15.0,0.8,0.7,0,2,3.58,3.30,1.24,15.4,5.4,13.3,0.8,6.0,6.6,2,48.9,28.7,19.8,0.292
376,Tony Gonsolin,LAD,SP,R,4.8,1.8,0.7,64.5,15.0,0.8,0.8,0,0,4.43,3.90,1.31,14.2,5.6,14.1,0.5,7.5,8.0,2,38.6,38.9,19.8,0.282
377,Rony Garcia,DET,RP,R,15.0,0.0,0.0,66.1,15.0,0.7,0.8,0,1,5.26,4.12,1.43,12.3,5.5,15.9,0.8,8.7,9.2,3,37.4,41.9,20.7,0.290
378,Nick Burdi,PIT,RP,R,21.0,0.0,0.0,63.2,14.7,0.7,0.7,2,4,3.98,3.42,1.32,17.2,6.3,13.1,0.6,6.4,6.9,2,40.2,35.7,21.4,0.300
379,Yency Almonte,COL,RP,R,13.2,0.0,0.0,65.2,14.5,0.6,0.8,0,1,5.30,4.25,1.55,12.4,7.3,15.3,0.7,8.6,9.2,2,41.0,34.3,22.0,0.303
380,Collin McHugh,BOS,RP,R,12.0,0.0,0.0,60.9,14.4,0.8,0.6,0,2,3.92,3.28,1.24,15.7,4.5,13.3,0.6,6.4,6.9,2,39.7,39.2,21.2,0.294
381,Corey Oswalt,NYM,SP,R,4.8,1.8,0.6,59.3,13.7,0.7,0.8,0,0,4.65,3.98,1.36,11.6,4.3,14.3,0.6,7.1,7.6,2,43.1,34.1,20.2,0.297
382,Scott Alexander,LAD,RP,L,15.0,0.0,0.0,57.8,13.5,0.7,0.6,0,2,3.48,3.46,1.36,11.0,5.3,13.1,0.5,5.3,5.9,1,59.4,18.1,19.8,0.305
383,Matt Wisler,MIN,RP,R,9.0,0.0,0.0,57.4,13.5,0.7,0.6,0,1,4.48,3.51,1.27,12.6,3.5,13.7,0.4,6.9,7.3,2,38.1,41.1,20.8,0.293
384,Tyler Webb,STL,RP,L,15.0,0.0,0.0,58.7,13.5,0.6,0.7,0,2,4.42,3.98,1.41,11.6,5.7,13.3,0.6,6.7,7.2,2,40.9,35.8,20.6,0.291
