Name,R,HR,RBI,SB,AVG,Ovr,group
Jazz Chisholm,4.8,1.6,4.9,1.0,0.212,577.0,15
Alex Blandino,6.4,1.2,5.5,0.4,0.225,587.4,6
Royce Lewis,1.8,0.3,1.7,0.4,0.242,598.4,6
Anderson Tejeda,4.6,1.1,4.3,1.0,0.20199999999999999,599.0,6
Zack Short,5.5,1.2,5.1,0.6,0.209,600.2,6
Phil Gosselin,1.5,0.3,1.5,0.1,0.247,603.0,6
Jeison Guzman,4.1,0.4,3.6,1.1,0.205,608.0,6
Matt Reynolds,1.6,0.2,1.4,0.2,0.243,609.8,6
Mike Freeman,1.6,0.2,1.4,0.2,0.242,616.0,6
Jace Peterson,1.0,0.2,0.9,0.2,0.242,619.2,6
Esteban Quiroz,2.7,0.7,2.6,0.2,0.23399999999999999,620.0,6
Laz Rivera,0.5,0.1,0.5,0.1,0.244,622.6,6
Jeter Downs,1.6,0.4,1.5,0.3,0.231,630.4,6
