#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP
396,Nick Burdi,PIT,RP,R,21.0,0.0,0.0,63.2,14.7,0.7,0.7,1,4,3.97,3.42,1.32,17.2,6.3,13.1,0.6,6.4,6.9,2,40.2,35.7,21.4,0.300
397,Austin Adams,SEA,RP,R,21.0,0.0,0.0,61.5,14.7,0.8,0.6,2,4,3.29,2.88,1.23,20.0,7.2,10.8,0.7,5.3,5.8,2,44.8,35.2,20.0,0.290
398,Yency Almonte,COL,RP,R,13.2,0.0,0.0,65.2,14.5,0.6,0.8,0,1,5.29,4.25,1.55,12.4,7.3,15.3,0.7,8.6,9.2,3,41.0,34.3,22.0,0.303
399,Erick Fedde,WSH,SP,R,5.4,1.8,0.7,63.1,14.4,0.7,0.9,0,0,4.67,4.20,1.46,10.4,5.2,15.8,0.5,7.6,8.2,2,48.9,27.6,20.7,0.305
400,Corey Oswalt,NYM,RP,R,6.6,0.6,0.2,59.1,13.8,1.4,1.7,0,0,4.42,3.70,1.32,12.3,4.2,14.0,0.6,6.7,7.3,2,43.1,34.1,20.2,0.296
401,Scott Alexander,LAD,RP,L,15.0,0.0,0.0,57.8,13.5,0.7,0.6,0,2,3.46,3.46,1.36,11.0,5.2,13.1,0.5,5.3,5.9,1,59.4,18.1,19.8,0.305
402,Matt Wisler,MIN,RP,R,9.0,0.0,0.0,57.4,13.5,0.7,0.6,0,1,4.48,3.51,1.27,12.6,3.5,13.7,0.4,6.9,7.3,2,38.1,41.1,20.8,0.293
403,Tyler Webb,STL,RP,L,15.0,0.0,0.0,58.7,13.5,0.6,0.7,0,2,4.43,3.98,1.41,11.6,5.7,13.3,0.6,6.7,7.2,2,40.9,35.8,20.6,0.291
404,Yoan Lopez,ARI,RP,R,15.0,0.0,0.0,58.8,13.5,0.6,0.7,0,3,4.65,3.86,1.41,12.1,5.6,13.5,0.5,7.0,7.5,2,41.6,34.6,21.1,0.298
405,Colten Brewer,BOS,RP,R,15.0,0.0,0.0,59.5,13.5,0.7,0.6,0,2,4.23,4.04,1.44,12.9,6.1,13.2,0.6,6.5,7.1,2,50.5,28.3,21.2,0.303
406,David Hess,BAL,RP,R,9.0,0.0,0.0,58.2,13.5,0.6,0.7,0,1,5.04,3.63,1.35,12.9,4.5,13.7,0.5,7.4,7.9,3,35.5,44.0,20.6,0.288
407,Dillon Tate,BAL,RP,R,9.0,0.0,0.0,58.8,13.5,0.6,0.7,0,1,4.73,3.84,1.42,10.6,4.8,14.4,0.8,7.0,7.5,2,50.2,29.3,20.6,0.301
408,Brad Brach,NYM,RP,R,15.0,0.0,0.0,58.4,13.5,0.6,0.7,0,2,4.31,3.76,1.39,13.4,5.9,12.8,0.4,6.4,6.9,2,42.2,34.9,20.2,0.296
409,Adrian Morejon,SD,RP,L,9.0,0.0,0.0,57.3,13.5,0.7,0.6,0,1,3.63,3.34,1.27,14.8,5.5,11.6,0.6,5.4,5.9,2,44.0,33.0,20.3,0.292
410,Juan Nicasio,TEX,RP,R,15.0,0.0,0.0,58.2,13.5,0.7,0.6,0,2,4.50,3.68,1.35,12.3,4.9,13.4,0.6,6.7,7.2,2,42.1,37.4,20.5,0.297
411,Cory Gearrin,MIN,RP,R,15.0,0.0,0.0,60.0,13.5,0.7,0.6,0,2,4.95,4.19,1.47,11.3,5.6,14.2,0.8,7.6,8.1,2,44.3,34.9,20.8,0.301
412,Greg Holland,KC,RP,R,16.8,0.0,0.0,60.2,13.4,0.6,0.7,0,3,5.10,4.48,1.55,12.0,7.4,13.3,0.5,7.5,8.0,2,40.0,39.3,20.7,0.294
413,Grant Dayton,ATL,RP,L,13.2,0.0,0.0,56.1,13.2,0.7,0.6,0,1,4.11,3.36,1.28,14.2,4.7,12.2,0.5,6.1,6.5,2,36.0,40.3,21.0,0.289
414,Aaron Barrett,WSH,RP,R,13.2,0.0,0.0,58.5,13.2,0.6,0.7,0,1,4.74,4.24,1.47,11.0,5.8,13.6,0.6,7.0,7.6,2,43.5,33.1,20.7,0.297
415,Jake Faria,MIL,RP,R,6.6,0.6,0.2,57.7,13.2,0.6,0.7,0,1,4.62,3.86,1.41,13.2,5.9,12.6,0.5,6.8,7.3,2,39.0,37.6,20.7,0.292
416,Mike Mayers,LAA,RP,R,13.2,0.0,0.0,56.8,13.2,0.7,0.6,0,1,4.42,3.78,1.32,12.3,4.7,12.7,0.5,6.5,7.0,2,40.9,39.1,20.0,0.288
417,Francisco Liriano,PHI,RP,L,12.0,0.0,0.0,57.4,13.2,0.6,0.7,0,2,4.33,3.74,1.40,13.2,5.9,12.6,0.6,6.4,6.9,2,46.4,31.0,19.9,0.294
418,Fernando Romero,MIN,RP,R,13.2,0.0,0.0,57.1,13.2,0.7,0.6,0,1,4.16,3.61,1.37,12.5,5.3,12.8,0.8,6.3,6.8,2,49.4,29.8,20.8,0.302
419,Sterling Sharp,MIA,RP,R,13.2,0.0,0.0,56.9,13.2,0.6,0.7,0,1,4.06,3.74,1.39,9.7,4.5,13.9,0.6,5.9,6.5,1,54.1,23.3,19.9,0.305
420,Victor Arano,PHI,RP,R,13.2,0.0,0.0,56.8,13.2,0.6,0.7,0,1,4.45,3.57,1.33,13.8,5.0,12.5,0.5,6.6,7.0,2,38.6,38.8,19.9,0.288
421,Tanner Scott,BAL,RP,L,13.2,0.0,0.0,56.5,13.2,0.7,0.6,0,2,3.77,3.29,1.37,16.2,7.0,11.1,0.5,5.4,5.9,2,49.4,30.1,20.6,0.301
422,Cody Stashak,MIN,RP,R,13.2,0.0,0.0,56.1,13.2,0.7,0.6,0,2,4.47,3.49,1.25,13.1,3.6,12.8,0.5,6.7,7.1,2,33.3,45.9,20.8,0.284
423,Peter Fairbanks,TB,RP,R,13.2,0.0,0.0,55.3,13.2,0.7,0.6,0,2,3.51,3.06,1.22,15.9,5.2,11.0,0.5,5.2,5.6,2,45.1,34.4,20.5,0.294
424,Taylor Clarke,ARI,SP,R,4.8,1.2,0.4,57.5,13.2,0.6,0.8,0,0,4.94,4.09,1.40,10.8,4.7,13.7,0.5,7.2,7.7,2,38.6,37.6,21.1,0.291
425,John Schreiber,DET,RP,R,13.2,0.0,0.0,57.7,13.2,0.6,0.7,0,1,4.70,3.89,1.40,12.5,5.4,13.1,0.6,6.9,7.3,2,41.9,37.4,20.7,0.294
426,Dan Otero,NYY,RP,R,13.2,0.0,0.0,57.0,13.2,0.7,0.6,0,1,4.51,3.67,1.38,8.8,3.0,15.2,0.5,6.7,7.3,2,54.9,25.0,20.1,0.309
427,Dennis Santana,LAD,RP,R,6.6,0.6,0.3,54.6,12.7,0.7,0.6,0,1,3.94,3.66,1.30,12.9,5.2,11.4,0.8,5.6,6.1,2,46.1,31.5,19.8,0.289
428,Justin Shafer,CIN,RP,R,9.0,0.0,0.0,56.0,12.6,0.5,0.7,0,1,4.91,4.17,1.49,11.5,6.3,12.5,0.5,7.0,7.4,2,41.1,36.2,20.1,0.294
429,Cionel Perez,HOU,RP,L,9.0,0.0,0.0,54.0,12.6,0.7,0.5,0,1,3.88,3.50,1.32,13.5,5.2,11.4,0.5,5.6,6.0,2,47.4,32.5,20.1,0.297
430,Sixto Sanchez,MIA,SP,R,2.4,2.4,1.1,54.2,12.5,0.6,0.9,0,0,4.63,4.24,1.40,8.9,4.0,13.5,0.5,6.3,6.9,2,47.1,30.3,19.9,0.299
431,Glenn Sparkman,KC,SP,R,2.4,2.4,0.8,54.2,12.2,0.6,0.9,0,0,5.65,4.75,1.49,7.5,3.8,14.4,0.5,7.6,8.1,2,41.1,38.2,20.7,0.299
432,Thomas Hatch,TOR,RP,R,9.6,0.6,0.2,53.3,12.1,0.6,0.7,0,1,5.05,4.10,1.41,10.6,4.5,12.5,0.7,6.8,7.2,2,41.2,38.3,20.4,0.292
433,Sean Poppen,MIN,RP,R,9.6,0.6,0.2,52.5,12.1,0.7,0.6,0,1,4.27,3.71,1.37,11.4,4.6,11.9,0.7,5.9,6.4,2,48.9,30.3,20.8,0.303
